date,state,district,pincode,demo_age_5_17,demo_age_17_
13-10-2025,Kerala,Kozhikode,673307,0,2
13-10-2025,Kerala,Kozhikode,673309,0,1
13-10-2025,Kerala,Kozhikode,673506,1,3
13-10-2025,Kerala,Kozhikode,673526,0,2
13-10-2025,Kerala,Kozhikode,673542,1,9
13-10-2025,Kerala,Kozhikode,673571,3,13
13-10-2025,Kerala,Kozhikode,673611,1,7
13-10-2025,Kerala,Kozhikode,673616,0,5
13-10-2025,Kerala,Kozhikode,673655,0,2
13-10-2025,Kerala,Kozhikode,673661,0,8
20-09-2025,Kerala,Kozhikode,673001,0,3
20-09-2025,Kerala,Kozhikode,673003,1,15
20-09-2025,Kerala,Kozhikode,673008,1,20
20-09-2025,Kerala,Kozhikode,673011,2,3
20-09-2025,Kerala,Kozhikode,673014,0,3
20-09-2025,Kerala,Kozhikode,673017,2,7
20-09-2025,Kerala,Kozhikode,673028,2,7
20-09-2025,Kerala,Kozhikode,673102,0,4
20-09-2025,Kerala,Kozhikode,673105,2,7
20-09-2025,Kerala,Kozhikode,673306,1,5
20-09-2025,Kerala,Kozhikode,673323,0,3
20-09-2025,Kerala,Kozhikode,673503,1,3
20-09-2025,Kerala,Kozhikode,673504,2,4
20-09-2025,Kerala,Kozhikode,673505,2,6
20-09-2025,Kerala,Kozhikode,673525,4,26
20-09-2025,Kerala,Kozhikode,673528,0,3
20-09-2025,Kerala,Kozhikode,673529,2,5
20-09-2025,Kerala,Kozhikode,673541,1,7
20-09-2025,Kerala,Kozhikode,673542,4,13
20-09-2025,Kerala,Kozhikode,673571,2,17
20-09-2025,Kerala,Kozhikode,673585,4,11
20-09-2025,Kerala,Kozhikode,673586,4,12
20-09-2025,Kerala,Kozhikode,673603,2,6
20-09-2025,Kerala,Kozhikode,673604,0,5
20-09-2025,Kerala,Kozhikode,673615,0,2
15-10-2025,Kerala,Kozhikode,673007,1,8
15-10-2025,Kerala,Kozhikode,673014,0,8
