date,state,district,pincode,bio_age_5_17,bio_age_17_
01-06-2025,Kerala,Kozhikode,673302,27,33
01-05-2025,Kerala,Kozhikode,673032,20,23
01-05-2025,Kerala,Kozhikode,673522,172,56
01-05-2025,Kerala,Kozhikode,673304,73,62
01-05-2025,Kerala,Kozhikode,673613,116,74
01-05-2025,Kerala,Kozhikode,673005,96,62
01-05-2025,Kerala,Kozhikode,673001,61,44
01-05-2025,Kerala,Kozhikode,673612,231,237
01-05-2025,Kerala,Kozhikode,673104,181,152
01-05-2025,Kerala,Kozhikode,673505,61,45
01-05-2025,Kerala,Kozhikode,673615,12,13
01-05-2025,Kerala,Kozhikode,673502,59,67
01-06-2025,Kerala,Kozhikode,673506,145,179
01-06-2025,Kerala,Kozhikode,673524,168,325
01-06-2025,Kerala,Kozhikode,673661,135,192
01-06-2025,Kerala,Kozhikode,673029,34,39
01-05-2025,Kerala,Kozhikode,673328,46,42
01-05-2025,Kerala,Kozhikode,673017,75,71
01-06-2025,Kerala,Kozhikode,673005,81,85
01-06-2025,Kerala,Kozhikode,673573,175,307
01-06-2025,Kerala,Kozhikode,673106,62,104
01-06-2025,Kerala,Kozhikode,673012,67,136
01-06-2025,Kerala,Kozhikode,673513,75,98
01-06-2025,Kerala,Kozhikode,673602,201,442
01-06-2025,Kerala,Kozhikode,673529,94,93
25-10-2025,Kerala,Kozhikode,673310,1,0
19-10-2025,Kerala,Kozhikode,673003,6,12
19-10-2025,Kerala,Kozhikode,673006,0,1
19-10-2025,Kerala,Kozhikode,673008,6,5
19-10-2025,Kerala,Kozhikode,673014,3,1
19-10-2025,Kerala,Kozhikode,673018,1,2
19-10-2025,Kerala,Kozhikode,673021,2,2
19-10-2025,Kerala,Kozhikode,673027,6,9
19-10-2025,Kerala,Kozhikode,673029,0,1
19-10-2025,Kerala,Kozhikode,673317,5,4
19-10-2025,Kerala,Kozhikode,673503,2,7
19-10-2025,Kerala,Kozhikode,673504,3,6
